Scenariusz,Numer Klatki,Czas Klatki (ms)
Control sceario,1,13.5084
Control sceario,2,12.5444
Control sceario,3,12.7335
Control sceario,4,12.7174
Control sceario,5,13.0801
Control sceario,6,12.7992
Control sceario,7,12.5210
Control sceario,8,12.5021
Control sceario,9,12.5604
Control sceario,10,12.0555
Control sceario,11,12.7292
Control sceario,12,12.7356
Control sceario,13,12.4889
Control sceario,14,11.9591
Control sceario,15,12.4403
Control sceario,16,12.4462
Control sceario,17,12.1122
Control sceario,18,11.8341
Control sceario,19,12.3550
Control sceario,20,12.5177
Control sceario,21,11.8905
Control sceario,22,12.3376
Control sceario,23,12.0567
Control sceario,24,11.6706
Control sceario,25,11.2454
Control sceario,26,11.4075
Control sceario,27,11.3019
Control sceario,28,11.2773
Control sceario,29,11.9957
Control sceario,30,12.0297
Control sceario,31,11.4426
Control sceario,32,12.0764
Control sceario,33,11.9414
Control sceario,34,11.9799
Control sceario,35,11.4901
Control sceario,36,11.9159
Control sceario,37,12.0617
Control sceario,38,11.3462
Control sceario,39,11.9663
Control sceario,40,12.0345
Control sceario,41,12.0698
Control sceario,42,11.5180
Control sceario,43,12.0835
Control sceario,44,12.0386
Control sceario,45,11.7190
Control sceario,46,11.9252
Control sceario,47,11.9770
Control sceario,48,11.4258
Control sceario,49,11.1284
Control sceario,50,11.5080
Control sceario,51,11.7922
Control sceario,52,11.4322
Control sceario,53,12.0538
Control sceario,54,12.0089
Control sceario,55,11.5791
Control sceario,56,11.9025
Control sceario,57,12.5776
Control sceario,58,12.0236
Control sceario,59,11.3783
Control sceario,60,11.8480
Control sceario,61,11.9656
Control sceario,62,11.4137
Control sceario,63,11.8795
Control sceario,64,12.0382
Control sceario,65,12.0080
Control sceario,66,11.3212
Control sceario,67,11.9617
Control sceario,68,11.7799
Control sceario,69,11.4264
Control sceario,70,11.8567
Control sceario,71,12.1970
Control sceario,72,11.3519
Control sceario,73,11.7993
Control sceario,74,12.0482
Control sceario,75,11.9829
Control sceario,76,11.3508
Control sceario,77,12.0348
Control sceario,78,11.7471
Control sceario,79,11.7672
Control sceario,80,11.8260
Control sceario,81,11.9312
Control sceario,82,11.9780
Control sceario,83,11.4143
Control sceario,84,11.8707
Control sceario,85,12.0763
Control sceario,86,11.4644
Control sceario,87,11.9752
Control sceario,88,11.8810
Control sceario,89,12.0098
Control sceario,90,11.4511
Control sceario,91,11.9990
Control sceario,92,11.9410
Control sceario,93,11.4186
Control sceario,94,11.8924
Control sceario,95,11.8559
Control sceario,96,11.6693
Control sceario,97,11.5543
Control sceario,98,11.3675
Control sceario,99,11.5141
Control sceario,100,11.2978
Control sceario,101,11.6481
Control sceario,102,11.6086
Control sceario,103,10.7053
Control sceario,104,11.2019
Control sceario,105,11.6900
Control sceario,106,11.5235
Control sceario,107,12.2243
Control sceario,108,11.8324
Control sceario,109,11.5376
Control sceario,110,11.3932
Control sceario,111,11.8883
Control sceario,112,11.8762
Control sceario,113,11.3797
Control sceario,114,11.7994
Control sceario,115,11.9466
Control sceario,116,11.3348
Control sceario,117,11.9173
Control sceario,118,11.8939
Control sceario,119,11.6156
Control sceario,120,11.3045
Control sceario,121,11.9525
Control sceario,122,11.9709
Control sceario,123,11.4205
Control sceario,124,11.7721
Control sceario,125,11.9403
Control sceario,126,11.3162
Control sceario,127,11.9180
Control sceario,128,11.8360
Control sceario,129,11.9001
Control sceario,130,11.2871
Control sceario,131,11.8706
Control sceario,132,11.8902
Control sceario,133,11.4718
Control sceario,134,11.9006
Control sceario,135,11.9627
Control sceario,136,11.2665
Control sceario,137,11.9306
Control sceario,138,11.8414
Control sceario,139,12.0625
Control sceario,140,11.5194
Control sceario,141,11.9442
Control sceario,142,11.4419
Control sceario,143,11.1550
Control sceario,144,11.7113
Control sceario,145,11.7403
Control sceario,146,11.2267
Control sceario,147,10.9072
Control sceario,148,11.2746
Control sceario,149,11.1447
Control sceario,150,11.5760
Control sceario,151,12.0864
Control sceario,152,11.8710
Control sceario,153,11.5241
Control sceario,154,11.8203
Control sceario,155,11.9997
Control sceario,156,11.3647
Control sceario,157,12.1668
Control sceario,158,12.0299
Control sceario,159,11.7063
Control sceario,160,11.4259
Control sceario,161,11.8880
Control sceario,162,11.8973
Control sceario,163,11.7406
Control sceario,164,11.9103
Control sceario,165,11.9691
Control sceario,166,11.4610
Control sceario,167,11.4728
Control sceario,168,11.7695
Control sceario,169,12.1620
Control sceario,170,11.3663
Control sceario,171,11.8789
Control sceario,172,11.8538
Control sceario,173,11.3409
Control sceario,174,11.9997
Control sceario,175,12.1413
Control sceario,176,12.0224
Control sceario,177,11.6109
Control sceario,178,11.8289
Control sceario,179,12.0526
Control sceario,180,11.4463
Control sceario,181,12.1613
Control sceario,182,11.9322
Control sceario,183,11.7633
Control sceario,184,11.4001
Control sceario,185,11.8880
Control sceario,186,11.8243
Control sceario,187,11.6449
Control sceario,188,11.8131
Control sceario,189,12.0433
Control sceario,190,11.2672
Control sceario,191,11.8717
Control sceario,192,11.8531
Control sceario,193,12.0143
Control sceario,194,11.5546
Control sceario,195,11.9596
Control sceario,196,11.8691
Control sceario,197,11.4332
Control sceario,198,11.8654
Control sceario,199,12.1999
Control sceario,200,11.7980
Control sceario,201,11.3340
Control sceario,202,11.7667
Control sceario,203,11.9020
Control sceario,204,11.5570
Control sceario,205,11.8548
Control sceario,206,11.9037
Control sceario,207,11.5086
Control sceario,208,11.6804
Control sceario,209,12.2749
Control sceario,210,11.8653
Control sceario,211,11.6173
Control sceario,212,11.8451
Control sceario,213,11.9401
Control sceario,214,11.8175
Control sceario,215,11.8916
Control sceario,216,11.8184
Control sceario,217,11.9895
Control sceario,218,11.4182
Control sceario,219,11.8979
Control sceario,220,11.8692
Control sceario,221,11.5668
Control sceario,222,11.8373
Control sceario,223,12.1123
Control sceario,224,11.8012
Control sceario,225,11.4645
Control sceario,226,11.9340
Control sceario,227,12.0427
Control sceario,228,11.3824
Control sceario,229,12.0897
Control sceario,230,11.9478
Control sceario,231,11.5944
Control sceario,232,11.3766
Control sceario,233,11.9507
Control sceario,234,12.0019
Control sceario,235,11.4818
Control sceario,236,11.8211
Control sceario,237,12.0066
Control sceario,238,11.4976
Control sceario,239,11.8374
Control sceario,240,11.8198
Control sceario,241,11.4854
Control sceario,242,11.9916
Control sceario,243,12.0508
Control sceario,244,11.8553
Control sceario,245,11.5505
Control sceario,246,11.8616
Control sceario,247,11.9831
Control sceario,248,11.5780
Control sceario,249,11.5446
Control sceario,250,12.0289
Control sceario,251,12.0486
Control sceario,252,11.5539
Control sceario,253,12.2292
Control sceario,254,11.9362
Control sceario,255,11.6659
Control sceario,256,11.3958
Control sceario,257,11.8966
Control sceario,258,12.0632
Control sceario,259,11.5943
Control sceario,260,12.0853
Control sceario,261,12.0440
Control sceario,262,11.4687
Control sceario,263,12.1758
Control sceario,264,11.8891
Control sceario,265,12.1530
Control sceario,266,11.2850
Control sceario,267,11.8605
Control sceario,268,12.2982
Control sceario,269,11.4028
Control sceario,270,11.8461
Control sceario,271,11.9553
Control sceario,272,11.8834
Control sceario,273,11.5318
Control sceario,274,11.7731
Control sceario,275,11.8978
Control sceario,276,11.5240
Control sceario,277,11.9746
Control sceario,278,11.9181
Control sceario,279,11.6230
Control sceario,280,11.4774
Control sceario,281,11.9892
Control sceario,282,11.8686
Control sceario,283,11.5018
Control sceario,284,11.8198
Control sceario,285,11.8872
Control sceario,286,11.2986
Control sceario,287,11.8351
Control sceario,288,11.9194
Control sceario,289,11.9518
Control sceario,290,11.5453
Control sceario,291,11.9126
Control sceario,292,12.0219
Control sceario,293,11.7897
Control sceario,294,12.1771
Control sceario,295,12.1907
Control sceario,296,12.0284
Control sceario,297,11.5171
Control sceario,298,11.9068
Control sceario,299,12.0823
Control sceario,300,11.5170
