Scenariusz,Sredni Czas Klatki (ms),Srednie FPS
Particle Size - 0.09 - Gauss,31.0943,32.16
Particle Size - 0.18 - Gauss,32.2649,30.99
Particle Size - 0.36 - Gauss,37.2901,26.82
Particle Size - 0.72 - Gauss,58.7944,17.01
Particle Size - 1.44 - Gauss,148.7181,6.72
Particle Size - 0.09 - Curvature flow,194.5883,5.14
Particle Size - 0.18 - Curvature flow,196.1958,5.10
Particle Size - 0.36 - Curvature flow,201.4067,4.97
Particle Size - 0.72 - Curvature flow,222.4573,4.50
Particle Size - 1.44 - Curvature flow,312.5433,3.20
