Scenariusz,Numer Klatki,Czas Klatki (ms)
Perspective Volume - 0.0,1,370.8118
Perspective Volume - 0.0,2,370.4591
Perspective Volume - 0.0,3,371.4215
Perspective Volume - 0.0,4,371.1121
Perspective Volume - 0.0,5,371.9135
Perspective Volume - 0.0,6,372.1306
Perspective Volume - 0.0,7,373.5629
Perspective Volume - 0.0,8,371.8477
Perspective Volume - 0.0,9,371.8927
Perspective Volume - 0.0,10,371.3399
Perspective Volume - 0.0,11,386.8083
Perspective Volume - 0.0,12,383.0285
Perspective Volume - 0.0,13,370.4227
Perspective Volume - 0.0,14,371.6003
Perspective Volume - 0.0,15,369.0975
Perspective Volume - 0.0,16,368.9536
Perspective Volume - 0.0,17,371.6781
Perspective Volume - 0.0,18,368.5577
Perspective Volume - 0.0,19,370.0813
Perspective Volume - 0.0,20,370.9415
Perspective Volume - 0.0,21,371.3565
Perspective Volume - 0.0,22,371.2887
Perspective Volume - 0.0,23,368.4954
Perspective Volume - 0.0,24,369.3104
Perspective Volume - 0.0,25,371.9401
Perspective Volume - 0.0,26,370.6556
Perspective Volume - 0.0,27,371.5784
Perspective Volume - 0.0,28,371.1210
Perspective Volume - 0.0,29,369.5937
Perspective Volume - 0.0,30,371.1236
Perspective Volume - 0.0,31,370.8262
Perspective Volume - 0.0,32,371.9911
Perspective Volume - 0.0,33,370.6930
Perspective Volume - 0.0,34,372.0049
Perspective Volume - 0.0,35,372.8503
Perspective Volume - 0.0,36,372.4431
Perspective Volume - 0.0,37,371.3251
Perspective Volume - 0.0,38,370.5024
Perspective Volume - 0.0,39,370.7897
Perspective Volume - 0.0,40,370.1008
Perspective Volume - 0.0,41,371.8938
Perspective Volume - 0.0,42,371.6235
Perspective Volume - 0.0,43,373.5070
Perspective Volume - 0.0,44,371.8214
Perspective Volume - 0.0,45,372.3691
Perspective Volume - 0.0,46,371.3022
Perspective Volume - 0.0,47,376.2320
Perspective Volume - 0.0,48,372.1260
Perspective Volume - 0.0,49,370.3680
Perspective Volume - 0.0,50,371.3414
Perspective Volume - 0.0,51,371.5807
Perspective Volume - 0.0,52,372.1657
Perspective Volume - 0.0,53,371.4651
Perspective Volume - 0.0,54,370.1270
Perspective Volume - 0.0,55,370.3278
Perspective Volume - 0.0,56,371.1856
Perspective Volume - 0.0,57,370.5823
Perspective Volume - 0.0,58,371.7804
Perspective Volume - 0.0,59,369.9859
Perspective Volume - 0.0,60,371.8776
Perspective Volume - 0.0,61,370.8818
Perspective Volume - 0.0,62,373.1556
