Scenariusz,Numer Klatki,Czas Klatki (ms)
Gaussian Blur - Smoothness - 0.25,1,32.6819
Gaussian Blur - Smoothness - 0.25,2,32.6906
Gaussian Blur - Smoothness - 0.25,3,32.7945
Gaussian Blur - Smoothness - 0.25,4,32.8947
Gaussian Blur - Smoothness - 0.25,5,32.6521
Gaussian Blur - Smoothness - 0.25,6,32.6510
Gaussian Blur - Smoothness - 0.25,7,32.6922
Gaussian Blur - Smoothness - 0.25,8,33.0963
Gaussian Blur - Smoothness - 0.25,9,32.9232
Gaussian Blur - Smoothness - 0.25,10,33.1427
Gaussian Blur - Smoothness - 0.25,11,32.7360
Gaussian Blur - Smoothness - 0.25,12,32.9921
Gaussian Blur - Smoothness - 0.25,13,32.9729
Gaussian Blur - Smoothness - 0.25,14,32.9963
Gaussian Blur - Smoothness - 0.25,15,32.0124
Gaussian Blur - Smoothness - 0.25,16,31.5649
Gaussian Blur - Smoothness - 0.25,17,31.9226
Gaussian Blur - Smoothness - 0.25,18,31.7858
Gaussian Blur - Smoothness - 0.25,19,31.8358
Gaussian Blur - Smoothness - 0.25,20,31.6913
Gaussian Blur - Smoothness - 0.25,21,32.7504
Gaussian Blur - Smoothness - 0.25,22,32.6184
Gaussian Blur - Smoothness - 0.25,23,32.3645
Gaussian Blur - Smoothness - 0.25,24,32.1840
Gaussian Blur - Smoothness - 0.25,25,32.3802
Gaussian Blur - Smoothness - 0.25,26,32.2385
Gaussian Blur - Smoothness - 0.25,27,32.8379
Gaussian Blur - Smoothness - 0.25,28,32.9822
Gaussian Blur - Smoothness - 0.25,29,31.9391
Gaussian Blur - Smoothness - 0.25,30,32.0344
Gaussian Blur - Smoothness - 0.25,31,31.9268
Gaussian Blur - Smoothness - 0.25,32,31.8523
Gaussian Blur - Smoothness - 0.25,33,32.1095
Gaussian Blur - Smoothness - 0.25,34,32.9498
Gaussian Blur - Smoothness - 0.25,35,33.2265
Gaussian Blur - Smoothness - 0.25,36,33.0250
Gaussian Blur - Smoothness - 0.25,37,32.9879
Gaussian Blur - Smoothness - 0.25,38,32.3541
Gaussian Blur - Smoothness - 0.25,39,32.3804
Gaussian Blur - Smoothness - 0.25,40,32.5533
Gaussian Blur - Smoothness - 0.25,41,32.3360
Gaussian Blur - Smoothness - 0.25,42,32.2889
Gaussian Blur - Smoothness - 0.25,43,32.4057
Gaussian Blur - Smoothness - 0.25,44,32.4823
Gaussian Blur - Smoothness - 0.25,45,32.3428
Gaussian Blur - Smoothness - 0.25,46,32.3773
Gaussian Blur - Smoothness - 0.25,47,32.4884
Gaussian Blur - Smoothness - 0.25,48,32.6859
Gaussian Blur - Smoothness - 0.25,49,32.7198
Gaussian Blur - Smoothness - 0.25,50,32.4749
Gaussian Blur - Smoothness - 0.25,51,32.5490
Gaussian Blur - Smoothness - 0.25,52,32.7072
Gaussian Blur - Smoothness - 0.25,53,32.4781
Gaussian Blur - Smoothness - 0.25,54,32.3751
Gaussian Blur - Smoothness - 0.25,55,32.5381
Gaussian Blur - Smoothness - 0.25,56,32.4795
Gaussian Blur - Smoothness - 0.25,57,32.2789
Gaussian Blur - Smoothness - 0.25,58,32.3355
Gaussian Blur - Smoothness - 0.25,59,32.2695
Gaussian Blur - Smoothness - 0.25,60,32.3757
Gaussian Blur - Smoothness - 0.25,61,32.2220
Gaussian Blur - Smoothness - 0.25,62,32.2902
Gaussian Blur - Smoothness - 0.25,63,32.5768
Gaussian Blur - Smoothness - 0.25,64,32.8956
Gaussian Blur - Smoothness - 0.25,65,32.9663
Gaussian Blur - Smoothness - 0.25,66,32.7439
Gaussian Blur - Smoothness - 0.25,67,32.7095
Gaussian Blur - Smoothness - 0.25,68,33.0884
Gaussian Blur - Smoothness - 0.25,69,31.9134
Gaussian Blur - Smoothness - 0.25,70,31.8534
Gaussian Blur - Smoothness - 0.25,71,31.8535
Gaussian Blur - Smoothness - 0.25,72,32.2311
Gaussian Blur - Smoothness - 0.25,73,32.1986
Gaussian Blur - Smoothness - 0.25,74,32.3265
Gaussian Blur - Smoothness - 0.25,75,32.1894
Gaussian Blur - Smoothness - 0.25,76,32.1753
Gaussian Blur - Smoothness - 0.25,77,31.9217
Gaussian Blur - Smoothness - 0.25,78,31.7940
Gaussian Blur - Smoothness - 0.25,79,31.7974
Gaussian Blur - Smoothness - 0.25,80,31.8423
Gaussian Blur - Smoothness - 0.25,81,31.7765
Gaussian Blur - Smoothness - 0.25,82,31.7861
Gaussian Blur - Smoothness - 0.25,83,32.4392
Gaussian Blur - Smoothness - 0.25,84,31.9371
Gaussian Blur - Smoothness - 0.25,85,31.9193
Gaussian Blur - Smoothness - 0.25,86,31.8198
Gaussian Blur - Smoothness - 0.25,87,32.1177
Gaussian Blur - Smoothness - 0.25,88,32.5444
Gaussian Blur - Smoothness - 0.25,89,32.0076
Gaussian Blur - Smoothness - 0.25,90,31.6549
Gaussian Blur - Smoothness - 0.25,91,31.3031
Gaussian Blur - Smoothness - 0.25,92,31.3865
Gaussian Blur - Smoothness - 0.25,93,31.4378
Gaussian Blur - Smoothness - 0.25,94,31.5765
Gaussian Blur - Smoothness - 0.25,95,31.4503
Gaussian Blur - Smoothness - 0.25,96,31.6765
Gaussian Blur - Smoothness - 0.25,97,31.9670
Gaussian Blur - Smoothness - 0.25,98,31.7089
Gaussian Blur - Smoothness - 0.25,99,31.7147
Gaussian Blur - Smoothness - 0.25,100,31.7642
Gaussian Blur - Smoothness - 0.25,101,31.3823
Gaussian Blur - Smoothness - 0.25,102,31.0735
Gaussian Blur - Smoothness - 0.25,103,31.2218
Gaussian Blur - Smoothness - 0.25,104,31.3598
Gaussian Blur - Smoothness - 0.25,105,31.3239
Gaussian Blur - Smoothness - 0.25,106,32.0762
Gaussian Blur - Smoothness - 0.25,107,32.0422
Gaussian Blur - Smoothness - 0.25,108,31.5609
Gaussian Blur - Smoothness - 0.25,109,31.3798
Gaussian Blur - Smoothness - 0.25,110,31.3823
Gaussian Blur - Smoothness - 0.25,111,31.1634
Gaussian Blur - Smoothness - 0.25,112,31.1417
Gaussian Blur - Smoothness - 0.25,113,31.5224
Gaussian Blur - Smoothness - 0.25,114,31.3577
Gaussian Blur - Smoothness - 0.25,115,31.6824
Gaussian Blur - Smoothness - 0.25,116,40.2172
Gaussian Blur - Smoothness - 0.25,117,32.9153
Gaussian Blur - Smoothness - 0.25,118,31.3113
Gaussian Blur - Smoothness - 0.25,119,31.4673
Gaussian Blur - Smoothness - 0.25,120,31.3737
Gaussian Blur - Smoothness - 0.25,121,31.4217
Gaussian Blur - Smoothness - 0.25,122,31.2293
Gaussian Blur - Smoothness - 0.25,123,31.2433
Gaussian Blur - Smoothness - 0.25,124,31.3493
Gaussian Blur - Smoothness - 0.25,125,31.2812
Gaussian Blur - Smoothness - 0.25,126,31.1582
Gaussian Blur - Smoothness - 0.25,127,31.5046
Gaussian Blur - Smoothness - 0.25,128,31.4293
Gaussian Blur - Smoothness - 0.25,129,32.7863
Gaussian Blur - Smoothness - 0.25,130,31.4315
Gaussian Blur - Smoothness - 0.25,131,31.5094
Gaussian Blur - Smoothness - 0.25,132,31.3176
Gaussian Blur - Smoothness - 0.25,133,31.5036
Gaussian Blur - Smoothness - 0.25,134,31.2779
Gaussian Blur - Smoothness - 0.25,135,31.3258
Gaussian Blur - Smoothness - 0.25,136,31.3379
Gaussian Blur - Smoothness - 0.25,137,31.3064
Gaussian Blur - Smoothness - 0.25,138,31.2952
Gaussian Blur - Smoothness - 0.25,139,31.2052
Gaussian Blur - Smoothness - 0.25,140,32.5658
Gaussian Blur - Smoothness - 0.25,141,32.2759
Gaussian Blur - Smoothness - 0.25,142,31.2439
Gaussian Blur - Smoothness - 0.25,143,31.2243
Gaussian Blur - Smoothness - 0.25,144,31.5861
Gaussian Blur - Smoothness - 0.25,145,31.1886
Gaussian Blur - Smoothness - 0.25,146,31.7735
Gaussian Blur - Smoothness - 0.25,147,31.2549
Gaussian Blur - Smoothness - 0.25,148,31.3209
Gaussian Blur - Smoothness - 0.25,149,31.3629
Gaussian Blur - Smoothness - 0.25,150,31.7583
Gaussian Blur - Smoothness - 0.25,151,32.1217
Gaussian Blur - Smoothness - 0.25,152,32.6265
Gaussian Blur - Smoothness - 0.25,153,31.5247
Gaussian Blur - Smoothness - 0.25,154,31.4581
Gaussian Blur - Smoothness - 0.25,155,31.4340
Gaussian Blur - Smoothness - 0.25,156,31.5707
Gaussian Blur - Smoothness - 0.25,157,31.3360
Gaussian Blur - Smoothness - 0.25,158,31.3894
Gaussian Blur - Smoothness - 0.25,159,31.4049
Gaussian Blur - Smoothness - 0.25,160,31.1792
Gaussian Blur - Smoothness - 0.25,161,31.3612
Gaussian Blur - Smoothness - 0.25,162,31.3129
Gaussian Blur - Smoothness - 0.25,163,31.5045
Gaussian Blur - Smoothness - 0.25,164,32.6321
Gaussian Blur - Smoothness - 0.25,165,31.9207
Gaussian Blur - Smoothness - 0.25,166,31.5516
Gaussian Blur - Smoothness - 0.25,167,31.6323
Gaussian Blur - Smoothness - 0.25,168,31.5984
Gaussian Blur - Smoothness - 0.25,169,31.4765
Gaussian Blur - Smoothness - 0.25,170,31.4924
Gaussian Blur - Smoothness - 0.25,171,31.5268
Gaussian Blur - Smoothness - 0.25,172,31.5278
Gaussian Blur - Smoothness - 0.25,173,31.4545
Gaussian Blur - Smoothness - 0.25,174,31.3971
Gaussian Blur - Smoothness - 0.25,175,31.5232
Gaussian Blur - Smoothness - 0.25,176,31.3976
Gaussian Blur - Smoothness - 0.25,177,31.4783
Gaussian Blur - Smoothness - 0.25,178,32.0565
Gaussian Blur - Smoothness - 0.25,179,43.1857
Gaussian Blur - Smoothness - 0.25,180,34.3395
Gaussian Blur - Smoothness - 0.25,181,31.9387
Gaussian Blur - Smoothness - 0.25,182,31.5332
Gaussian Blur - Smoothness - 0.25,183,31.8632
Gaussian Blur - Smoothness - 0.25,184,31.6316
Gaussian Blur - Smoothness - 0.25,185,31.6471
Gaussian Blur - Smoothness - 0.25,186,32.0238
Gaussian Blur - Smoothness - 0.25,187,31.6380
Gaussian Blur - Smoothness - 0.25,188,31.3340
Gaussian Blur - Smoothness - 0.25,189,31.1979
Gaussian Blur - Smoothness - 0.25,190,31.5316
Gaussian Blur - Smoothness - 0.25,191,31.5008
Gaussian Blur - Smoothness - 0.25,192,31.8126
Gaussian Blur - Smoothness - 0.25,193,31.3939
Gaussian Blur - Smoothness - 0.25,194,31.2469
Gaussian Blur - Smoothness - 0.25,195,31.5499
Gaussian Blur - Smoothness - 0.25,196,31.7304
Gaussian Blur - Smoothness - 0.25,197,32.2833
Gaussian Blur - Smoothness - 0.25,198,31.2016
Gaussian Blur - Smoothness - 0.25,199,31.2375
Gaussian Blur - Smoothness - 0.25,200,32.0009
Gaussian Blur - Smoothness - 0.25,201,32.1487
Gaussian Blur - Smoothness - 0.25,202,32.2814
Gaussian Blur - Smoothness - 0.25,203,32.3302
Gaussian Blur - Smoothness - 0.25,204,32.3694
Gaussian Blur - Smoothness - 0.25,205,32.2715
Gaussian Blur - Smoothness - 0.25,206,31.8572
Gaussian Blur - Smoothness - 0.25,207,32.1987
Gaussian Blur - Smoothness - 0.25,208,32.0794
Gaussian Blur - Smoothness - 0.25,209,32.6131
Gaussian Blur - Smoothness - 0.25,210,32.2933
Gaussian Blur - Smoothness - 0.25,211,32.4258
Gaussian Blur - Smoothness - 0.25,212,32.2011
Gaussian Blur - Smoothness - 0.25,213,32.0974
Gaussian Blur - Smoothness - 0.25,214,32.1217
Gaussian Blur - Smoothness - 0.25,215,32.2053
Gaussian Blur - Smoothness - 0.25,216,32.1734
Gaussian Blur - Smoothness - 0.25,217,32.1351
Gaussian Blur - Smoothness - 0.25,218,32.5008
Gaussian Blur - Smoothness - 0.25,219,37.8323
Gaussian Blur - Smoothness - 0.25,220,38.7692
Gaussian Blur - Smoothness - 0.25,221,34.2971
Gaussian Blur - Smoothness - 0.25,222,37.1559
Gaussian Blur - Smoothness - 0.25,223,33.2363
Gaussian Blur - Smoothness - 0.25,224,32.7195
Gaussian Blur - Smoothness - 0.25,225,37.0766
Gaussian Blur - Smoothness - 0.25,226,34.5710
Gaussian Blur - Smoothness - 0.25,227,36.9256
Gaussian Blur - Smoothness - 0.25,228,36.9328
Gaussian Blur - Smoothness - 0.25,229,35.1100
Gaussian Blur - Smoothness - 0.25,230,32.1985
Gaussian Blur - Smoothness - 0.25,231,35.2373
Gaussian Blur - Smoothness - 0.25,232,35.9385
Gaussian Blur - Smoothness - 0.25,233,33.0027
Gaussian Blur - Smoothness - 0.25,234,33.3421
Gaussian Blur - Smoothness - 0.25,235,32.6208
Gaussian Blur - Smoothness - 0.25,236,32.9604
Gaussian Blur - Smoothness - 0.25,237,34.9865
Gaussian Blur - Smoothness - 0.25,238,33.4879
Gaussian Blur - Smoothness - 0.25,239,32.2745
Gaussian Blur - Smoothness - 0.25,240,33.1106
Gaussian Blur - Smoothness - 0.25,241,32.5345
Gaussian Blur - Smoothness - 0.25,242,32.3990
Gaussian Blur - Smoothness - 0.25,243,32.2528
Gaussian Blur - Smoothness - 0.25,244,32.4669
Gaussian Blur - Smoothness - 0.25,245,32.1994
Gaussian Blur - Smoothness - 0.25,246,32.3831
Gaussian Blur - Smoothness - 0.25,247,32.9915
Gaussian Blur - Smoothness - 0.25,248,33.0972
Gaussian Blur - Smoothness - 0.25,249,32.2635
Gaussian Blur - Smoothness - 0.25,250,32.0210
Gaussian Blur - Smoothness - 0.25,251,32.7630
Gaussian Blur - Smoothness - 0.25,252,32.3214
Gaussian Blur - Smoothness - 0.25,253,32.3520
Gaussian Blur - Smoothness - 0.25,254,31.9181
Gaussian Blur - Smoothness - 0.25,255,32.0827
Gaussian Blur - Smoothness - 0.25,256,31.9912
Gaussian Blur - Smoothness - 0.25,257,31.6350
Gaussian Blur - Smoothness - 0.25,258,31.7314
Gaussian Blur - Smoothness - 0.25,259,31.6527
Gaussian Blur - Smoothness - 0.25,260,40.1411
Gaussian Blur - Smoothness - 0.25,261,32.4468
Gaussian Blur - Smoothness - 0.25,262,53.0080
Gaussian Blur - Smoothness - 0.25,263,33.9843
