Scenariusz,Nazwa Shadera (Pass),Sredni Czas (ms),Odchylenie Std (ms),Min (ms),Max (ms)
Curvature Flow - 0.0005,Depth,1.7460,0.1478,1.6986,2.8703
Curvature Flow - 0.0005,Thickness,1.0613,0.0714,1.0530,1.9645
Curvature Flow - 0.0005,Smooth,47.1472,2.8214,44.3966,58.5068
Curvature Flow - 0.0005,Final Shade,0.8184,0.0553,0.7424,0.9882
Curvature Flow - 0.001,Depth,1.7623,0.1601,1.6985,2.6068
Curvature Flow - 0.001,Thickness,1.0558,0.0065,1.0530,1.1405
Curvature Flow - 0.001,Smooth,45.6706,1.0506,44.4092,50.2146
Curvature Flow - 0.001,Final Shade,0.7878,0.0375,0.7314,1.0124
Curvature Flow - 0.005,Depth,1.7624,0.1574,1.6983,2.2941
Curvature Flow - 0.005,Thickness,1.0589,0.0462,1.0530,1.6327
Curvature Flow - 0.005,Smooth,45.6708,1.3161,44.4278,52.7478
Curvature Flow - 0.005,Final Shade,0.7798,0.0425,0.7225,1.0071
Curvature Flow - 0.01,Depth,1.7524,0.1416,1.6984,2.3149
Curvature Flow - 0.01,Thickness,1.0550,0.0027,1.0531,1.0698
Curvature Flow - 0.01,Smooth,45.4392,1.1717,44.3952,55.7654
Curvature Flow - 0.01,Final Shade,0.8204,0.0364,0.7613,1.0242
Curvature Flow - 0.05,Depth,1.7564,0.1440,1.6985,2.2393
Curvature Flow - 0.05,Thickness,1.0570,0.0324,1.0532,1.6073
Curvature Flow - 0.05,Smooth,45.1741,0.8192,44.3783,50.0279
Curvature Flow - 0.05,Final Shade,0.8527,0.0315,0.8058,1.0719
